codigo,descricao,estoque,unidade,custo,venda,total_custo,total_venda,lucro_percentual
007954,5011-0 SIL INT PALIO/SIENA 1.0/1.4 - 96 A 08,5.0,UN1,69.375,111.0,346.875,555.0,60.0
007955,5012-0 SIL INT UNO MILLE FIRE - 02 A 06,6.0,UN1,81.4,130.24,488.4,781.44,60.0
007956,5013-0 SIL INT PALIO/SIENA 1.0/1.3/1.5/1.6 -,2.0,UN1,78.2,123.556,156.4,247.112,58.0
007957,5048-0 TB INT STRADA 1.4 FIRE FLEX 8V - 06,3.0,UN1,55.5,88.8,166.5,266.4,60.0
007958,5085-0 SIL INT STRADA 1.8 MPI 8V - 03 A 05 E,1.0,UN1,128.09,217.753,128.09,217.753,70.0
002195,BIELETA DIANT S10/BLAZER 03/97 2011,1.0,PC,11.37,19.35,11.37,19.35,70.0
006526,BIELETA ECOSPORT FIESTA 2003,0.0,UN1,17.88,32.184,0.0,0.0,80.0
007059,BOMBA GASOLINA UNIVERSAL JMBB01,0.0,UN1,16.22,27.574,0.0,0.0,70.0
001043,BORRACHA TRAS AMORTECEDOR,0.0001,2,0.0,5.59,0.0,0.0,70.0
005134,BRAÇO OSCILANTE ESCORT /VERONA/,1.0,2,75.54,128.418,75.54,128.418,70.0
004339,"BRONZINA BIELA - SANTANA SBB390 0,75",0.0,JG,32.68,55.556,0.0,0.0,70.0
009547,"BRONZINA DA BIELA UNO/SBB-407-J-0,75SP",1.0,PC,57.71,92.336,57.71,92.336,60.0
009548,BRONZINA MANCAL,1.0,PC,92.54,148.064,92.54,148.064,60.0
000644,BUCHA EIXO TRASEIRO VECTRA 96/05,312.0,2,2.00012,31.9,57.42,63.8,114.84
007879,BUCHA DA BANDEJA ESQ 18MM PALIO SEM,1.0,PC,29.2,49.64,29.2,49.64,70.0
002578,BUCHA MOLA TRAS GRANDE STRADA,0.0001,2,20.5,34.85,0.0,0.0,70.0
005700,CEBOLINHA OLEO GOL/ SAVEIRO 3373,0.0,PC,24.16,41.072,0.0,0.0,70.0
004512,COXIM LIMITADOR DE TORCAO FIESTA,1.0001,2,120.0,204.0,120.0,204.0,70.0
008154,ELAION TS 15W40 - TS 1540 - 12X1 LT,24.0,CX,21.75,32.625,522.0,783.0,50.0
004930,EMBREAGEM VW GOL /SAVEIRO/POLO,1.0,UN1,98.29,492.37,98.29,492.37,400.936
000490,GI07/1 FILTRO.COMBUSTIVEL.,3.0,PC,11.88,20.196,35.64,60.588,70.0
007262,HOMOC. VW GOL/VOIAGE/PARATY DE 86 A,10.0,UN1,44.5,180.0,445.0,1800.0,304.494
005469,HOMOCINETICA GOL S/ABS VOYAGE 1.6 8V,1.0,KT,50.065,90.0,50.065,90.0,79.766
005470,HOMOCINETICA PRISMA 1.0/1.4 8V,2.0,UN1,78.055,124.888,156.11,249.776,60.0
000267,INTERRUPTOR/ CORSA SEDAM / IPANEMA,0.0001,2,12.81,21.777,0.0,0.0,70.0
004349,KIT AMORTECEDOR DIANT GOL +COXIM,0.0,JG,82.4,140.08,0.0,0.0,70.0
004342,KIT EMBREAGEM - 6213003000 LUK,0.0,PC,241.49,410.533,0.0,0.0,70.0
004621,LUBRIFICANTES 68 BALDE 20 LITROS,0.0,2,200.0,220.0,0.0,0.0,10.0
008944,OLEO EXTRAVIDA 15W40 CH4 - 12X1 LT,6.0,CX,22.873,35.454,137.238,212.722,55.0
007859,OLEO CAIXA 80 4 GL4 SAE 80W 1-LITRO -,2.0,UN1,21.33,31.995,42.66,63.99,50.0
005194,PARAFUSO,40.0,X35MM,16.0002,0.1,0.11,1.6,1.76
000173,PIVO GOL/95/97 LADO ESQUERDO,0.0001,2,0.0,57.12,0.0,0.0,70.0
004158,PNEU175/70R14 84T BRILLANTIS 2 BARUM,0.0,UN1,239.0,370.45,0.0,0.0,55.0
006177,SETOR DIRECAO COMPLETA UNO/FIORINO,0.0,PC,534.01,961.218,0.0,0.0,80.0
000073,SIL.TRAS.CORSA HATCH,0.0001,2,0.0,81.82,0.0,0.0,70.0
006806,SILENCIOSO INTERMEDIARIO RENAULT,1.0,PC,120.06,192.096,120.06,192.096,60.0
005190,TE ESGOTO 98/100,8.0,2,4.5,4.95,36.0,39.6,10.0
007424,TSAT030015-FLANGE DA BOMBA DE,3.0,UN1,29.77,47.632,89.31,142.896,60.0
004465,VC172-CARCACA VALVULA TERMOSTATICA,0.0001,2,20.66,35.122,0.0,0.0,70.0
004297,*ARTICULACAO ROSCA MERIVAFEMEA,2.0,PC,39.08,66.436,78.16,132.872,70.0
004298,*ARTICULACAO CORSA 94/99 BR10004304012,0.0,PC,36.01,61.217,0.0,0.0,70.0
004296,*ARTICULACAO ROSCA MACHO (HID.)CORSA,0.0,PC,38.14,64.838,0.0,0.0,70.0
004268,*BATENTE AMORT. DIANT. (ORIG.) S/CANECA,2.0,PC,6.0,10.8,12.0,21.6,80.0
004295,*BIELETA BARRA ESTAB. DIANT.,0.0,PC,15.64,23.46,0.0,0.0,50.0
004269,*BIELETA BARRA ESTAB. DIANT.S10/BLAZER,2.0,PC,4.55,11.375,9.1,22.75,150.0
004276,*COXIM MOTOR TRAS.CORSA/CELTA 07032-7,0.0,PC,25.69,64.225,0.0,0.0,150.0
008336,"*FLOK DORAMECTINA INJ 1,1% 500ML",1.0,UN1,126.89,139.579,126.89,139.579,10.0
004279,*KIT BATENTE AMORT. DIANT. CORSA 94,0.0,KT,5.99,10.183,0.0,0.0,70.0
004288,*KIT AMORT. TRAS PALIO/SIENA 96> 62179-6,3.0,KT,13.27,25.0,39.81,75.0,88.395
004281,*KIT AMORT. TRAS. (BAT/GUARDA-PO),1.0,KT,12.05,20.485,12.05,20.485,70.0
004272,*KIT AMORTECEDOR DIANTEIRO,1.0,KT,26.63,45.271,26.63,45.271,70.0
004282,*KIT BATENTE AMORT. DIANT. . UNO/ELBA,1.0,KT,7.11,12.087,7.11,12.087,70.0
004278,*KIT BATENTE AMORT. TRAS. CORSA,5.0,KT,9.0,15.3,45.0,76.5,70.0
004294,*KIT BATENTE AMORT. TRAS.,0.0,KT,7.86,15.0,0.0,0.0,90.839
004284,*KIT FEIXE MOLA TRAS. C/ABRAC/CALCO,1.0,KT,13.91,25.0,13.91,25.0,79.726
008331,*MACACAO PROTECAO QUIMICA G BCO,2.0,UN1,11.73,12.903,23.46,25.806,10.0
008332,*MACACAO PROTECAO QUIMICA M BCO,1.0,UN1,11.73,12.903,11.73,12.903,10.0
004259,*MANGUEIRA COMBUSTIVEL 5.0MM (TRANCA,24.0,MT,4.1,15.0,98.4,360.0,265.853
004260,*MANGUEIRA COMBUSTIVEL 7.0MM (TRANCA,23.0,MT,4.43,5.095,101.89,117.174,15.0
008688,*MECANISMO COMP UNIV SUP ASTRA - REF,2.0,UN1,72.615,112.553,145.23,225.106,55.0
004274,*PARA-BARRO DIANT. DIR.COROLLA 02/08,2.0,PC,54.69,92.973,109.38,185.946,70.0
004275,*PARA-BARRO DIANT. ESQ.COROLLA 02/08,1.0,PC,54.69,92.973,54.69,92.973,70.0
004245,*TINTA SPRAY ECO BCR ALUM ALTA TEMP,1.0001,2,50.01,55.011,50.01,55.011,10.0
003681,-AMORTECEDOR DIANT PALIO GP30130,0.0001,2,250.815,426.385,0.0,0.0,70.0
004566,-ARTICULAÇAO ECOSPORT/FIESTA,2.0,UN1,25.58,39.649,51.16,79.298,55.0
007105,-BATERIA 60 AMPERES MOURA M60GD,0.0,UN1,365.0,547.5,0.0,0.0,50.0
